venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
Feroz Shah Kotla,2,Delhi Capitals,Punjab Kings,"NV Ojha, LRPL Taylor, V Sehwag, Y Venugopal Rao, DPMD Jayawardene, DA Warner","P Kumar, Azhar Mahmood, P Awana",37
"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"BB McCullum, G Gambhir, JH Kallis, MK Tiwary","MM Patel, SL Malinga, RP Singh",32
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Kolkata Knight Riders,"SR Tendulkar, HH Gibbs","L Balaji, Shakib Al Hasan, Iqbal Abdulla, SP Narine",26
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Punjab Kings,"MEK Hussey, M Vijay, MS Dhoni, SK Raina","P Kumar, Azhar Mahmood, RJ Harris",25
Himachal Pradesh Cricket Association Stadium,2,Punjab Kings,Chennai Super Kings,"Mandeep Singh, AC Gilchrist","R Ashwin, JA Morkel, BW Hilfenhaus",43
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Capitals,"TM Dilshan, CH Gayle, V Kohli","IK Pathan, AD Russell, UT Yadav, VR Aaron",42
Feroz Shah Kotla,2,Delhi Capitals,Royal Challengers Bangalore,"Y Venugopal Rao, DPMD Jayawardene, UBT Chand, DA Warner","TM Dilshan, R Vinay Kumar, Z Khan, HV Patel",51
"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,Deccan Chargers,"R Dravid, SR Watson, AM Rahane","V Pratap Singh, DW Steyn, JP Duminy, MS Gony",41
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Rajasthan Royals,"S Dhawan, PA Reddy","SW Tait, J Botha, SR Watson, A Chandila",58
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,"Azhar Mahmood, Mandeep Singh, PC Valthaty, SD Chitnis, AC Gilchrist, DJ Hussey","M Morkel, UT Yadav",20
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,"UBT Chand, DA Warner","P Kumar, P Awana, RJ Harris",44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,"BB McCullum, G Gambhir, JH Kallis","AG Murtaza, WD Parnell, A Nehra, B Kumar",27
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,"JD Ryder, MJ Clarke, RV Uthappa","L Balaji, Shakib Al Hasan, Iqbal Abdulla, SP Narine",40
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"JP Duminy, S Dhawan, PA Reddy, KC Sangakkara, CL White","R Vinay Kumar, Z Khan, M Muralitharan, P Parameswaran",23
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"TM Dilshan, SS Tiwary, CH Gayle, V Kohli","DW Steyn, MS Gony",40
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,"STR Binny, R Dravid, SR Watson, AM Rahane","DS Kulkarni, SL Malinga, RP Singh",31
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,"DR Smith, SR Tendulkar","SW Tait, SR Watson, GB Hogg, A Chandila",44
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Delhi Capitals,"BB McCullum, G Gambhir","IK Pathan, M Morkel, UT Yadav, VR Aaron",48
Subrata Roy Sahara Stadium,2,Delhi Capitals,Kolkata Knight Riders,"V Sehwag, DPMD Jayawardene, NV Ojha, DA Warner","L Balaji, JH Kallis, Shakib Al Hasan, SP Narine",49
M.Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,"MEK Hussey, M Vijay, S Badrinath, SK Raina","DS Kulkarni, Harbhajan Singh, SL Malinga, RP Singh",30
M.Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,"DR Smith, SR Tendulkar, RG Sharma","R Ashwin, SB Jakati, BW Hilfenhaus",54
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"MEK Hussey, M Vijay","VR Aaron, AD Russell, UT Yadav, Sunny Gupta",52
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,"LRPL Taylor, V Sehwag, DPMD Jayawardene, DA Warner","JA Morkel, BW Hilfenhaus",46
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey, M Vijay","B Lee, SP Narine, Shakib Al Hasan",54
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,"MS Bisla, G Gambhir, JH Kallis","R Ashwin, JA Morkel, BW Hilfenhaus",56
Eden Gardens,1,Delhi Capitals,Kolkata Knight Riders,"MC Juneja, DPMD Jayawardene, UBT Chand, DA Warner","B Lee, L Balaji, JH Kallis, SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Delhi Capitals,"MS Bisla, G Gambhir, JH Kallis","IK Pathan, UT Yadav, A Nehra",46
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"TM Dilshan, CH Gayle, MA Agarwal, V Kohli","MM Patel, JDP Oram, JJ Bumrah, MG Johnson",31
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"SR Tendulkar, RT Ponting","R Vinay Kumar, JD Unadkat, DT Christian, M Muralitharan",38
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Pune Warriors,"PA Patel, KC Sangakkara, PA Reddy","AB Dinda, B Kumar, MN Samuels",38
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Sunrisers Hyderabad,"MK Pandey, RV Uthappa","DW Steyn, NLTC Perera, I Sharma",27
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Capitals,"R Dravid, MDKJ Perera, AM Rahane","IK Pathan, AD Russell, UT Yadav, A Nehra",45
Feroz Shah Kotla,2,Delhi Capitals,Rajasthan Royals,"DPMD Jayawardene, UBT Chand, DA Warner","S Badree, S Sreesanth",39
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,"KD Karthik, SR Tendulkar, RG Sharma, RT Ponting","DP Nannes, AS Rajpoot",41
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,"DJ Bravo, MEK Hussey, M Vijay, SK Raina","MM Patel, Harbhajan Singh, MG Johnson",36
Subrata Roy Sahara Stadium,1,Pune Warriors,Punjab Kings,"MN Samuels, TL Suman, MK Pandey, RV Uthappa","P Kumar, Azhar Mahmood, P Awana, RJ Harris",24
Subrata Roy Sahara Stadium,2,Punjab Kings,Pune Warriors,"Mandeep Singh, M Vohra, AC Gilchrist","AB Dinda, AD Mathews, B Kumar",56
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"TM Dilshan, KK Nair, CH Gayle, V Kohli","GH Vihari, Ankit Sharma, DW Steyn, I Sharma",40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,"GH Vihari, PA Patel, CL White, PA Reddy","MC Henriques, JD Unadkat, M Kartik",37
"Rajiv Gandhi International Stadium, Uppal",3,Sunrisers Hyderabad,Royal Challengers Bangalore,"NLTC Perera, CL White",R Vinay Kumar,20
"Rajiv Gandhi International Stadium, Uppal",4,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli",DW Steyn,15
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid, SR Watson, AM Rahane","B Lee, Mohammed Shami, SP Narine",35
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"MK Tiwary, MS Bisla, G Gambhir, JH Kallis","KK Cooper, SW Tait, R Shukla, S Sreesanth",40
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Delhi Capitals,"KD Karthik, SR Tendulkar, RG Sharma, RT Ponting","IK Pathan, M Morkel, UT Yadav, A Nehra",38
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Mumbai Indians,"MC Juneja, DPMD Jayawardene, UBT Chand, DA Warner","Harbhajan Singh, SL Malinga, MG Johnson",46
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Chennai Super Kings,"Mandeep Singh, M Vohra, AC Gilchrist, DJ Hussey","DP Nannes, AS Rajpoot, CH Morris",43
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Punjab Kings,"MEK Hussey, M Vijay","P Kumar, Azhar Mahmood, P Awana, RJ Harris",38
M.Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"MS Bisla, G Gambhir, JH Kallis","MC Henriques, JD Unadkat, RP Singh, M Muralitharan",44
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, MA Agarwal, V Kohli","SP Narine, JH Kallis, R McLaren",43
Subrata Roy Sahara Stadium,1,Rajasthan Royals,Pune Warriors,"R Dravid, MDKJ Perera, AM Rahane","AB Dinda, AD Mathews, B Kumar, R Sharma",44
Subrata Roy Sahara Stadium,2,Pune Warriors,Rajasthan Royals,"LRPL Taylor, AJ Finch, RV Uthappa","Harmeet Singh (2), JP Faulkner, KK Cooper, S Sreesanth",64
Feroz Shah Kotla,1,Delhi Capitals,Sunrisers Hyderabad,"J Botha, V Sehwag, MC Juneja, DPMD Jayawardene, DA Warner","Anand Rajan, DW Steyn, NLTC Perera, I Sharma",29
Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Capitals,"PA Patel, KC Sangakkara, PA Reddy","IK Pathan, S Kaul, UT Yadav, M Morkel",38
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Pune Warriors,"SR Tendulkar, RT Ponting","AD Mathews, AJ Finch, R Sharma, AB Dinda, B Kumar",48
"Wankhede Stadium, Mumbai",2,Pune Warriors,Mumbai Indians,"AD Mathews, AJ Finch, Yuvraj Singh, LRPL Taylor, TL Suman, RV Uthappa","PP Ojha, SL Malinga, Harbhajan Singh, MG Johnson",40
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle, MA Agarwal, V Kohli","DP Nannes, CH Morris, MM Sharma",33
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey, M Vijay, S Badrinath, SK Raina","R Vinay Kumar, DT Christian, R Rampaul, RP Singh",31
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"MS Bisla, G Gambhir","GH Vihari, DW Steyn, NLTC Perera, I Sharma",48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"PA Patel, CL White","L Balaji, SMSM Senanayake, SP Narine",39
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,"M Vohra, Gurkeerat Singh, Mandeep Singh, AC Gilchrist, DJ Hussey","KK Cooper, A Chandila, S Sreesanth",34
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,"R Dravid, SR Watson, AM Rahane","P Kumar, P Awana, RJ Harris",48
MA Chidambaram Stadium,1,Pune Warriors,Chennai Super Kings,"AJ Finch, RV Uthappa","DP Nannes, R Ashwin, RA Jadeja",48
MA Chidambaram Stadium,2,Chennai Super Kings,Pune Warriors,"S Anirudha, M Vijay, S Badrinath, SK Raina","AB Dinda, MR Marsh, B Kumar",38
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,"Mandeep Singh, M Vohra, AC Gilchrist","L Balaji, SMSM Senanayake, JH Kallis, SP Narine",35
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,"MS Bisla, G Gambhir, JH Kallis, EJG Morgan","P Kumar, Azhar Mahmood, MS Gony",45
M.Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"MC Juneja, V Sehwag, DA Warner","R Vinay Kumar, JD Unadkat, R Rampaul, RP Singh",43
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"KL Rahul, AB de Villiers, CH Gayle, V Kohli","IK Pathan, M Morkel, A Nehra",48
M.Chinnaswamy Stadium,3,Royal Challengers Bangalore,Delhi Capitals,"AB de Villiers, CH Gayle",UT Yadav,15
M.Chinnaswamy Stadium,4,Delhi Capitals,Royal Challengers Bangalore,"IK Pathan, BJ Rohrer, DA Warner",R Rampaul,11
Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,Pune Warriors,"PA Patel, GH Vihari, BB Samantray, CL White, Q de Kock, KV Sharma","AB Dinda, AD Mathews, B Kumar",25
Subrata Roy Sahara Stadium,2,Pune Warriors,Sunrisers Hyderabad,"TL Suman, AJ Finch, SPD Smith, RV Uthappa","DW Steyn, NLTC Perera, I Sharma",41
Sawai Mansingh Stadium,1,Rajasthan Royals,Mumbai Indians,"SR Watson, AM Rahane","R Dhawan, PP Ojha, SL Malinga, MG Johnson",58
Sawai Mansingh Stadium,2,Mumbai Indians,Rajasthan Royals,"KD Karthik, SR Tendulkar, RG Sharma, RT Ponting","JP Faulkner, AA Chavan, A Chandila",26
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Capitals,"MEK Hussey, M Vijay, SK Raina","IK Pathan, M Morkel, UT Yadav, S Nadeem",39
Feroz Shah Kotla,2,Delhi Capitals,Chennai Super Kings,"KM Jadhav, V Sehwag, BMAJ Mendis, MC Juneja, DPMD Jayawardene, DA Warner","MM Sharma, JA Morkel, CH Morris",32
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Sunrisers Hyderabad,"Mandeep Singh, PC Valthaty, AC Gilchrist","GH Vihari, DW Steyn, NLTC Perera, I Sharma",36
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Punjab Kings,"Q de Kock, GH Vihari, PA Reddy","P Kumar, Azhar Mahmood, AD Mascarenhas",33
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir, YK Pathan","MM Sharma, JA Morkel, CH Morris",47
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey, R Ashwin, M Vijay","L Balaji, SMSM Senanayake, SP Narine",27
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"STR Binny, R Dravid, SR Watson, AM Rahane","JD Unadkat, R Rampaul, RP Singh",31
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"TM Dilshan, CH Gayle","SW Tait, JP Faulkner, A Chandila, S Sreesanth",48
Feroz Shah Kotla,1,Mumbai Indians,Delhi Capitals,"DR Smith, KD Karthik, SR Tendulkar, RG Sharma","IK Pathan, RE van der Merwe, UT Yadav, S Nadeem",24
Feroz Shah Kotla,2,Delhi Capitals,Mumbai Indians,"V Sehwag, DPMD Jayawardene","MM Patel, JJ Bumrah, SL Malinga",60
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Punjab Kings,"AJ Finch, RV Uthappa","P Kumar, Azhar Mahmood, P Awana",48
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Pune Warriors,"M Vohra, Azhar Mahmood, Mandeep Singh, AC Gilchrist","AB Dinda, BAW Mendis, B Kumar, R Sharma",55
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,"SR Watson, AM Rahane","R Ashwin, MM Sharma, CH Morris, JO Holder",55
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,"MEK Hussey, M Vijay, SK Raina","KK Cooper, JP Faulkner, R Shukla, A Chandila",58
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,"TM Dilshan, CH Gayle","AB Dinda, MR Marsh, IC Pandey, B Kumar",62
M.Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,"AJ Finch, Yuvraj Singh, LJ Wright, SPD Smith, RV Uthappa","M Kartik, JD Unadkat, R Rampaul, RP Singh",43
Himachal Pradesh Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,"SE Marsh, AC Gilchrist","IK Pathan, A Nehra, S Kaul, M Morkel",53
Himachal Pradesh Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,"UBT Chand, IK Pathan, V Sehwag, DPMD Jayawardene, DA Warner","P Kumar, Azhar Mahmood, Sandeep Sharma",21
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, JH Kallis, YK Pathan","PP Ojha, Harbhajan Singh, SL Malinga, MG Johnson",61
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"DR Smith, KD Karthik, SR Tendulkar","L Balaji, SMSM Senanayake, SP Narine, Iqbal Abdulla",42
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, GH Vihari, A Mishra, CL White, Q de Kock","R Ashwin, MM Sharma, JO Holder",40
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"MEK Hussey, M Vijay","DJG Sammy, A Mishra, I Sharma, DW Steyn, KV Sharma",58
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,"Mandeep Singh, AC Gilchrist","L Balaji, SMSM Senanayake, SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,"MS Bisla, G Gambhir, JH Kallis, YK Pathan","P Kumar, Azhar Mahmood, BA Bhatt",45
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"DJG Sammy, NLTC Perera, S Dhawan, PA Reddy, KC Sangakkara, GH Vihari, KV Sharma","JP Faulkner, SR Watson, A Chandila",29
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"R Dravid, SR Watson, AM Rahane","DW Steyn, NLTC Perera, I Sharma",30
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Royal Challengers Bangalore,"DR Smith, KD Karthik, SR Tendulkar","R Vinay Kumar, JD Unadkat, R Rampaul, RP Singh",52
"Wankhede Stadium, Mumbai",2,Royal Challengers Bangalore,Mumbai Indians,"TM Dilshan, CH Gayle, V Kohli","DS Kulkarni, SL Malinga, MG Johnson",35
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey, WP Saha","Mohammed Shami, L Balaji, JH Kallis, SP Narine, YK Pathan",67
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum, MS Bisla, G Gambhir","DP Nannes, MM Sharma, CH Morris",63
Shaheed Veer Narayan Singh International Stadium,1,Delhi Capitals,Pune Warriors,"UBT Chand, V Sehwag, DPMD Jayawardene","AB Dinda, KW Richardson, B Kumar",37
Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Capitals,"AJ Finch, RV Uthappa","IK Pathan, M Morkel, UT Yadav, A Nehra",43
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"A Mukund, CH Gayle, V Kohli","JP Faulkner, SR Watson, A Chandila, S Sreesanth",55
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"SV Samson, R Dravid, AM Rahane","MC Henriques, R Vinay Kumar, R Rampaul, RP Singh",45
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Punjab Kings,"DR Smith, KD Karthik, SR Tendulkar","P Kumar, Azhar Mahmood",36
"Wankhede Stadium, Mumbai",2,Punjab Kings,Mumbai Indians,"Mandeep Singh, M Vohra, SE Marsh, DJ Hussey","DS Kulkarni, SL Malinga, MG Johnson",55
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"MEK Hussey, WP Saha, S Badrinath, SK Raina","KW Richardson, B Kumar, R Sharma",29
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,"AJ Finch, Yuvraj Singh, TL Suman, LJ Wright, SPD Smith, RV Uthappa","MM Sharma, JA Morkel, RA Jadeja, CH Morris",46
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"DR Smith, KD Karthik, SR Tendulkar, RG Sharma","DW Steyn, NLTC Perera, I Sharma, KV Sharma",41
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, KC Sangakkara, PA Reddy","DS Kulkarni, Harbhajan Singh, SL Malinga, MG Johnson",36
Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Capitals,"MS Bisla, JH Kallis, YK Pathan","IK Pathan, M Morkel, UT Yadav, A Nehra",37
Shaheed Veer Narayan Singh International Stadium,2,Delhi Capitals,Kolkata Knight Riders,"UBT Chand, V Sehwag, DPMD Jayawardene, DA Warner","B Lee, L Balaji, JH Kallis, SP Narine",34
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,"MEK Hussey, WP Saha, SK Raina","P Kumar, P Awana, DJ Hussey",36
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,"Mandeep Singh, LA Pomersbach, SE Marsh","MM Sharma, JA Morkel",36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,"SS Tiwary, CH Gayle","AD Mathews, BAW Mendis, TL Suman, B Kumar",30
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,"AJ Finch, TL Suman, RV Uthappa","M Kartik, R Vinay Kumar, MC Henriques, RP Singh",39
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"SV Samson, JP Faulkner, SR Watson, AM Rahane","S Narwal, SMSM Senanayake, Iqbal Abdulla",34
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"MS Bisla, G Gambhir, JH Kallis","JP Faulkner, SR Watson, AA Chavan",48
"Rajiv Gandhi International Stadium, Uppal",1,Delhi Capitals,Sunrisers Hyderabad,"UBT Chand, V Sehwag, DPMD Jayawardene","DW Steyn, NLTC Perera, I Sharma",26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Capitals,"PA Patel, A Ashish Reddy, S Dhawan","IK Pathan, J Botha, UT Yadav, A Nehra",41
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"CH Gayle, V Kohli, CA Pujara","Azhar Mahmood, P Awana, Sandeep Sharma",31
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"SE Marsh, Azhar Mahmood, AC Gilchrist","MC Henriques, JD Unadkat, Z Khan",46
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Chennai Super Kings,"DR Smith, SR Tendulkar","MM Sharma, RA Jadeja, CH Morris",32
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Mumbai Indians,"M Vijay, SK Raina, S Badrinath, MEK Hussey, DJ Bravo, R Ashwin","P Suyal, Harbhajan Singh, MG Johnson",32
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,"AJ Finch, RV Uthappa","KK Cooper, JP Faulkner, SR Watson, A Chandila",61
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,"R Dravid, AM Rahane","K Upadhyay, WD Parnell, B Kumar",53
M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"PA Patel, KC Sangakkara, PA Reddy","R Vinay Kumar, JD Unadkat, RP Singh, M Muralitharan",40
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, MA Agarwal, V Kohli","GH Vihari, DW Steyn, NLTC Perera, I Sharma",47
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,"V Sehwag, DA Warner, DPMD Jayawardene, CM Gautam","SW Tait, JP Faulkner, SR Watson, STR Binny",42
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,"R Dravid, AM Rahane","S Kaul, UT Yadav, M Morkel, AB Agarkar",49
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Kolkata Knight Riders,"DR Smith, SR Tendulkar","L Balaji, R McLaren, SP Narine",41
"Wankhede Stadium, Mumbai",2,Kolkata Knight Riders,Mumbai Indians,"MS Bisla, G Gambhir, JH Kallis","PP Ojha, SL Malinga, AN Ahmed, MG Johnson",38
"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,"MEK Hussey, M Vijay, SK Raina","DW Steyn, NLTC Perera, I Sharma",50
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,"GH Vihari, PA Patel, KC Sangakkara, S Dhawan","R Ashwin, MM Sharma, JO Holder",49
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,"Mandeep Singh, AC Gilchrist, SE Marsh","JP Faulkner, A Chandila, S Sreesanth",37
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,"R Dravid, SR Watson, AM Rahane","P Kumar, Bipul Sharma, P Awana, PP Chawla",38
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,"MS Bisla, G Gambhir, JH Kallis","K Upadhyay, WD Parnell, B Kumar, Parvez Rasool",50
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,"UA Birla, AJ Finch, Yuvraj Singh, RV Uthappa","L Balaji, JH Kallis, Iqbal Abdulla, SP Narine",34
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Capitals,"MC Henriques, CH Gayle, V Kohli, CA Pujara","IK Pathan, M Morkel, UT Yadav, S Kaul",40
Feroz Shah Kotla,2,Delhi Capitals,Royal Challengers Bangalore,"UBT Chand, V Sehwag, DPMD Jayawardene, DA Warner","MC Henriques, R Vinay Kumar, JD Unadkat, R Rampaul",49
Subrata Roy Sahara Stadium,1,Pune Warriors,Mumbai Indians,"AJ Finch, Yuvraj Singh, MK Pandey, RV Uthappa","SL Malinga, AN Ahmed, MG Johnson",36
Subrata Roy Sahara Stadium,2,Mumbai Indians,Pune Warriors,"DR Smith, KD Karthik, SR Tendulkar, RG Sharma","AB Dinda, BAW Mendis, KW Richardson, B Kumar",37
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,"GH Vihari, PA Patel, CL White, S Dhawan","P Kumar, P Awana, Sandeep Sharma, Harmeet Singh",37
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,"Mandeep Singh, AC Gilchrist, SE Marsh","DW Steyn, NLTC Perera, I Sharma",41
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli, CA Pujara","L Balaji, SMSM Senanayake, SP Narine",22
JSCA International Stadium Complex,2,Kolkata Knight Riders,Royal Challengers Bangalore,"MS Bisla, G Gambhir, JH Kallis, YK Pathan","R Vinay Kumar, JD Unadkat, A Mithun, R Rampaul",31
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"MEK Hussey, M Vijay","VS Malik, JP Faulkner, SR Watson",37
